company_name,chinese_partner,industry,sector,deal_type,deal_details,status,report_date,source
Reliance Industries,CATL,EV Batteries,Energy,Technology Partnership,Reliance evaluating investment in Chinese-origin battery technology firms for fuel cells and batteries,Under Discussion,2025-08-20,DNA India
Adani Group,BYD Co,EV Manufacturing,Automotive,JV/Tech Partnership,Adani held talks with BYD for EV sector foray; also discussed with CATL,Under Discussion,2025-08-20,DNA India
Adani Group,CATL,EV Batteries,Energy,Technology Partnership,Adani visited world's largest battery maker for partnership discussions,Under Discussion,2025-08-20,DNA India
JSW Group,Chery Automobile,EV Manufacturing,Automotive,Technology Licensing,Signed deal to source technology and components for new-energy venture,Confirmed,2025-08-20,DNA India
JSW Group,SAIC Motor,Automotive,Manufacturing,JV Stake Increase,Talks to increase stake in JSW MG Motor India; SAIC owns 49%, JSW owns 35%,Under Discussion,2026-08-25,The Hindu
Tata Group,AESC Apollo Holding,EV Batteries,Energy,JV + Technology Transfer,Paid £40M+ for tech know-how; AESC holds 12% stake in Agratas Energy Storage Solutions,Confirmed,2026-07-08,Mint
Tata Group,Chery Automobile,EV Manufacturing,Automotive,Platform Licensing,Passenger vehicle business leveraging Chery platform for Avinya premium EV range,Confirmed,2026-07-08,Mint
Bharti Enterprises,Haier Group,Consumer Electronics,Retail,49% JV,Bharti + Warburg Pincus acquiring 49% stake in Haier India; Haier retains 49%,Confirmed,2025-12-23,DNA India
Sany Heavy Industry,Sany Group,Construction Equipment,Industrial,Sales Growth,Indian subsidiary of Chinese major; FY24 revenue ₹6,151 Cr, profit ₹340 Cr,Active,2025-03-31,Business Standard
JSW MG Motor India,SAIC Motor,Automotive,Manufacturing,JV Investment,Investing ₹3,500 Cr to double capacity to 220,000 vehicles by Jan 2028,Active,2026-08-25,The Hindu
Tata Motors,Chery Automobile,EV Manufacturing,Automotive,Platform Licensing,Licensing Chery platform for Avinya premium EV brand; first model 2027,Confirmed,2026-06-03,Reuters
Tata Motors,AESC Apollo,EV Batteries,Energy,Technology Transfer,Technology absorption pact for LFP and NMC battery manufacturing,Confirmed,2026-09-01,Mint
Starlit Power Systems,Guangdong Dynavolt,Batteries,Energy,JV,JV with 24% stake to Chinese partner for VRLA batteries,Confirmed,2026-07-13,VCCircle
Dixon Technologies,Vivo India,Electronics,Manufacturing,JV,Dixon holds 51% stake; awaiting security clearance,Pending Clearance,2025-07-15,BW Businessworld
Dixon Technologies,Longcheer,Electronics,Manufacturing,JV,Dixon holds 74% stake; mobile phone manufacturing,Confirmed,2025-07-15,BW Businessworld
Dixon Technologies,Qtech Group,Electronics,Manufacturing,JV,Dixon holds 51% stake; camera modules and sensors,Confirmed,2025-07-15,BW Businessworld
Dixon Technologies,HKC,Electronics,Manufacturing,JV,Dixon holds 74% stake; display modules,Pending Clearance,2025-07-15,BW Businessworld
Dixon Technologies,Chongqing Yuhai,Electronics,Manufacturing,JV,Dixon holds 76% stake; precision mechanical components,Confirmed,2025-07-15,BW Businessworld
Ashok Leyland,CALB Group,Batteries,Energy,Technology Partnership,20-year agreement; initial cell imports; ₹50,000 Cr investment,Confirmed,2025-09-24,Industry Outlook
Sona BLW,Jinnaite Machinery,Automotive,Manufacturing,JV,Proposed JV in China put in abeyance,Abeyance,2025-10-27,MarketScreener
